number,Year,Season,Day of week,Station,Market Share_total,Number
0.0,2016.0,Winter,Monday,V Total,2109.1000000000004,468.0
1.0,2018.0,Winter,Monday,SRC Total,6978.6,694.0
2.0,2018.0,Winter,Monday,TVA Total,9111.300000000008,437.0
3.0,2018.0,Winter,Monday,TQ Total,2834.8999999999983,819.0
4.0,2018.0,Winter,Monday,RDS+,535.5000000000002,331.0
5.0,2018.0,Winter,Monday,"MusiquePlus+ (retired Aug 25, 2019)",562.8000000000004,629.0
6.0,2018.0,Winter,Monday,Meteomedia+,92.29999999999995,204.0
7.0,2018.0,Winter,Monday,RDS2+,142.2,284.0
8.0,2018.0,Winter,Monday,LCN+,1706.1,340.0
9.0,2018.0,Winter,Monday,TV5+,669.9999999999997,591.0
10.0,2018.0,Winter,Monday,Canal Vie+,797.2000000000011,494.0
11.0,2018.0,Winter,Monday,Evasion+,302.9999999999997,448.0
12.0,2018.0,Winter,Monday,Historia+,950.6000000000004,531.0
13.0,2018.0,Winter,Monday,MAX+,711.9000000000003,561.0
14.0,2018.0,Winter,Monday,RDI+,2730.2000000000007,768.0
15.0,2018.0,Winter,Monday,Series++,1736.3999999999996,422.0
16.0,2018.0,Winter,Monday,Z+,747.7000000000004,586.0
17.0,2018.0,Winter,Monday,Teletoon Fr.+,2084.0999999999995,1128.0
18.0,2018.0,Winter,Monday,Canal D+,1003.5999999999998,520.0
19.0,2018.0,Winter,Monday,VRAK+,288.29999999999995,458.0
20.0,2018.0,Winter,Monday,Unis TV+,227.1999999999997,873.0
21.0,2018.0,Winter,Monday,ARTV+,467.29999999999967,431.0
22.0,2018.0,Winter,Tuesday,V Total,1978.5000000000023,463.0
23.0,2018.0,Winter,Tuesday,SRC Total,7096.799999999994,714.0
24.0,2018.0,Winter,Tuesday,TVA Total,8378.2,424.0
25.0,2018.0,Winter,Tuesday,TQ Total,3083.5000000000045,846.0
26.0,2018.0,Winter,Tuesday,RDS+,646.0000000000008,311.0
27.0,2018.0,Winter,Tuesday,"MusiquePlus+ (retired Aug 25, 2019)",726.7000000000003,610.0
28.0,2018.0,Winter,Tuesday,Meteomedia+,90.30000000000007,204.0
29.0,2018.0,Winter,Tuesday,RDS2+,208.09999999999988,366.0
30.0,2018.0,Winter,Tuesday,LCN+,1711.2999999999997,335.0
31.0,2018.0,Winter,Tuesday,TV5+,740.0000000000002,609.0
32.0,2018.0,Winter,Tuesday,Canal Vie+,935.4999999999993,499.0
33.0,2018.0,Winter,Tuesday,Evasion+,300.1,440.0
34.0,2018.0,Winter,Tuesday,Historia+,1351.6000000000004,592.0
35.0,2018.0,Winter,Tuesday,MAX+,625.5000000000001,510.0
36.0,2018.0,Winter,Tuesday,RDI+,2743.9999999999973,792.0
37.0,2018.0,Winter,Tuesday,Series++,1883.2000000000007,422.0
38.0,2018.0,Winter,Tuesday,Z+,663.0000000000002,578.0
39.0,2018.0,Winter,Tuesday,Teletoon Fr.+,1690.1999999999985,1079.0
40.0,2018.0,Winter,Tuesday,Canal D+,964.5000000000001,478.0
41.0,2018.0,Winter,Tuesday,VRAK+,362.29999999999984,466.0
42.0,2018.0,Winter,Tuesday,Unis TV+,243.39999999999935,942.0
43.0,2018.0,Winter,Tuesday,ARTV+,566.0999999999998,462.0
44.0,2018.0,Winter,Wednesday,V Total,2040.3999999999994,455.0
45.0,2018.0,Winter,Wednesday,SRC Total,6809.299999999998,715.0
46.0,2018.0,Winter,Wednesday,TVA Total,9089.300000000003,456.0
47.0,2018.0,Winter,Wednesday,TQ Total,3100.299999999998,868.0
48.0,2018.0,Winter,Wednesday,RDS+,540.9000000000005,370.0
49.0,2018.0,Winter,Wednesday,"MusiquePlus+ (retired Aug 25, 2019)",715.8000000000008,540.0
50.0,2018.0,Winter,Wednesday,Meteomedia+,99.69999999999996,204.0
51.0,2018.0,Winter,Wednesday,RDS2+,196.99999999999977,367.0
52.0,2018.0,Winter,Wednesday,LCN+,1813.0000000000005,334.0
53.0,2018.0,Winter,Wednesday,TV5+,719.5999999999996,610.0
54.0,2018.0,Winter,Wednesday,Canal Vie+,933.7999999999997,505.0
55.0,2018.0,Winter,Wednesday,Evasion+,210.9999999999998,435.0
56.0,2018.0,Winter,Wednesday,Historia+,1159.0000000000016,672.0
57.0,2018.0,Winter,Wednesday,MAX+,701.8999999999994,527.0
58.0,2018.0,Winter,Wednesday,RDI+,2907.2000000000007,798.0
59.0,2018.0,Winter,Wednesday,Series++,1902.2,406.0
60.0,2018.0,Winter,Wednesday,Z+,633.9000000000001,598.0
61.0,2018.0,Winter,Wednesday,Teletoon Fr.+,1625.5999999999992,1095.0
62.0,2018.0,Winter,Wednesday,Canal D+,814.3999999999995,501.0
63.0,2018.0,Winter,Wednesday,VRAK+,317.79999999999995,500.0
